nbre_eleves_segpa;latitude;longitude;effectifs_filles;effectifs_garcons
61;48.40363080610729;-4.510359525683293;202;196
0;48.893666855197914;2.3764864668797987;211;184
0;43.67792616163958;7.202090130979249;218;229
0;44.047555366708046;5.031266819380827;286;250
0;48.436995205925115;0.10235953320276274;156;187
35;50.301286630319076;2.7505104747791638;204;202
89;45.61853121196117;5.149710052183323;268;305
0;48.90047611059286;2.286515934384413;279;356
0;48.52134377125562;3.7278704281470656;273;315
0;49.21321763148307;1.1491789508863053;193;208
0;49.24831614355137;1.4435802528746382;273;300
53;43.73776974723289;7.299920102794202;349;352
58;48.984492151035965;2.3760840596044286;237;242
0;50.38175061469219;3.0610115023258024;309;313
48;5.671095321792683;-53.7793200392691;296;297
0;49.248815297865434;2.467662873811276;327;362
60;50.49557185372062;2.8643399654717037;260;284
59;48.85027531586813;2.6335823680243378;265;275
86;43.59320165356297;5.010470120513064;235;239
0;50.0142430908917;3.5989303801184933;117;117
0;49.69952689828173;4.952700028804294;146;140
59;48.63042860914635;2.445152496048942;324;374
